Area_SqFt,Bedrooms,Full_Bathrooms,Half_Bathrooms,Location,Year_Built,Garage_Area,Basement_Area,Luxury_Score,Price
1905,2,2,0,Standard,2013.0,452.0173831891294,1222.7568618434987,70.0,805156.5528431755
2688,3,2,1,Standard,1973.0,486.4534026420713,0.0,97.0,912623.2607617665
3662,2,2,0,Standard,2019.0,524.3110680528363,0.0,17.0,886594.3428920209
1549,4,4,0,Suburbs,1994.0,348.95954830687447,660.3320845452357,95.0,726697.1722053334
2588,2,2,1,Standard,1973.0,338.2815235350277,1049.1813308917647,76.0,871214.1203959732
2561,2,1,1,Standard,2007.0,302.4289000811175,631.8016184694559,8.0,626798.048080576
1940,1,1,2,Premium,1980.0,213.3345928376957,0.0,61.0,1026626.3527731608
2125,3,2,0,Standard,2011.0,530.7557696592065,860.2487023306041,56.0,876047.3580210418
2680,3,2,0,Standard,1970.0,159.38184812945127,0.0,2.0,605918.6590266253
2542,3,2,1,Suburbs,1993.0,,1264.7075490468483,75.0,827641.8198938217
2808,4,3,1,Standard,2004.0,566.840243955266,1228.16274060187,44.0,1056995.906514304
2046,5,4,0,Suburbs,2013.0,846.9781775105721,733.4713342168179,90.0,951372.4241232796
1427,2,1,0,Premium,1998.0,176.5585581473496,0.0,85.0,1033965.0002686786
3669,3,2,0,Suburbs,1970.0,0.0,1121.2684952054692,64.0,839932.5806689634
1925,5,3,0,Standard,1972.0,678.1993200789377,488.2673464482818,,777165.3446950171
1703,3,2,1,Downtown,1969.0,0.0,0.0,2.0,627265.6825248336
1831,3,1,1,Standard,2003.0,362.06799013324394,0.0,41.0,550402.1699874689
877,2,2,1,Suburbs,2009.0,549.3675265236236,0.0,86.0,567215.2282154477
3273,5,4,2,Suburbs,2018.0,207.61649604920686,1128.9695314731825,20.0,920086.0199937088
1484,3,2,0,Standard,1987.0,503.0710459004468,817.7637297661593,98.0,819362.9897691946
1870,2,1,1,Suburbs,1965.0,301.48444624724254,873.2488532126636,2.0,399982.63065780926
1257,2,1,2,Standard,2005.0,329.4932222267697,701.7786669776758,64.0,626107.3815467802
2906,3,2,2,Suburbs,1995.0,375.9002727437918,1087.7667522995716,45.0,748863.8127372848
3882,4,2,1,Downtown,2016.0,719.0946120624353,1757.8987172532507,8.0,1484656.4783536852
1685,2,2,0,Premium,1971.0,358.7226343920481,704.1371715767722,85.0,1234914.8103336033
3513,3,2,0,Standard,2024.0,150.0,1604.5162590549244,62.0,1061834.1382967862
1189,3,1,2,Standard,1961.0,458.2322487386609,869.8701298002582,10.0,487193.53265267255
2329,2,1,1,Rural,2018.0,658.3941491056823,896.4807730674096,11.0,381173.42162173404
2110,2,2,1,Premium,2024.0,195.06300559043336,967.5371225622596,82.0,224203.5669791995
1964,1,1,0,Suburbs,1976.0,528.1476008760675,0.0,14.0,344645.7987409477
2671,4,3,1,Premium,1971.0,0.0,923.2232676558393,42.0,1510390.1177246536
3257,3,2,0,Standard,1961.0,0.0,0.0,92.0,849803.7996698745
2115,3,2,1,Standard,2020.0,450.4482714432529,0.0,90.0,921040.434798398
2605,3,2,1,Rural,2019.0,512.4332556167692,1130.2108225631289,16.0,500634.38792640547
1274,3,2,1,Suburbs,,0.0,678.7687689369376,37.0,577270.0642970741
1749,3,2,0,Suburbs,2014.0,375.1057402790613,660.3061550896949,28.0,594722.2779638973
2213,3,2,2,Premium,1973.0,394.9787784509641,1165.923933705667,43.0,1477387.398325122
2796,1,1,0,Standard,2011.0,360.8693798131165,1270.077742602229,71.0,834070.9289605968
2338,4,4,0,Standard,1978.0,215.65826402921613,915.6068535806489,35.0,883142.8942324208
2153,1,1,1,Standard,1971.0,150.0,690.6223912226499,99.0,754205.3688878029
2674,3,2,0,Rural,2010.0,725.7989814241437,0.0,54.0,491820.4180879627
1968,3,2,0,Rural,2006.0,419.61157885273747,1113.4305030056007,85.0,557311.249635715
3389,3,2,0,Suburbs,1979.0,475.5789901258736,1193.0788479048788,7.0,684438.8500707695
2634,2,2,2,Standard,1985.0,447.9734593921099,970.8264550052585,100.0,941026.2802948402
1762,4,2,0,Standard,2007.0,637.5576318459309,0.0,60.0,738079.2162168834
3160,1,1,1,Suburbs,1971.0,597.6075876909732,1323.4002588529459,4.0,533098.9965189423
1806,4,2,1,Suburbs,2015.0,500.1074654710853,655.3285858908015,10.0,539063.7932121663
2078,1,1,2,Standard,1988.0,648.0452824044787,0.0,5.0,506508.9663952615
1612,3,2,0,Suburbs,1979.0,235.59819281934196,224.60375790008032,87.0,602800.9869493833
1634,4,3,0,Rural,1984.0,,629.9224325311544,38.0,474725.0329247844
2474,3,2,0,Premium,1971.0,223.07238150392322,823.1197046479883,25.0,1242677.2038187496
2057,3,2,0,Premium,1963.0,445.2895952504532,677.0681717932437,24.0,1119400.5752006904
954,2,2,0,Downtown,1969.0,299.77762127248957,362.568129702877,32.0,541393.0854946047
2218,5,3,0,Standard,2011.0,173.36131572745091,859.8762617044856,47.0,924379.0506043192
1894,4,3,0,Suburbs,1995.0,326.73308629920234,682.5652550328888,69.0,720815.0546023569
2240,3,2,1,Downtown,1968.0,397.5003800053085,944.353377976862,68.0,1080498.965595705
2603,4,3,0,Standard,2014.0,604.5318919959418,861.8449510985697,9.0,875820.0388720409
2600,4,3,0,Premium,1971.0,0.0,1129.610559720985,25.0,1470951.435090813
1218,2,2,2,Standard,1963.0,150.0,218.85555132873725,61.0,565037.741571341
2580,3,2,1,Suburbs,1976.0,587.9595590393369,1102.8097017175091,33.0,681973.5536374872
1833,4,3,1,Suburbs,1998.0,150.0,0.0,35.0,614216.504334209
2337,2,2,2,Premium,2002.0,350.675376011914,661.4121682835782,80.0,1509132.30655034
1138,4,3,1,Rural,2017.0,542.2508918993783,229.77348326363133,75.0,447084.0565601801
2107,4,3,1,Standard,1977.0,150.0,0.0,38.0,2532804.0679042498
3061,4,3,0,Rural,,637.8661852069508,909.7130322018972,64.0,641877.6198350893
600,3,2,2,Standard,1998.0,401.85851142910116,0.0,95.0,761833.8755044995
1556,3,1,0,Standard,1964.0,473.47168821910196,639.7770279755624,64.0,669175.0858512495
1725,3,1,0,Standard,2011.0,503.07662126479727,663.6565834458507,65.0,771582.9183027141
2654,3,2,1,Rural,2023.0,367.7958178919744,0.0,56.0,474703.11178807996
1989,3,1,0,Suburbs,1964.0,430.1600485047088,901.2521521328875,33.0,449493.35568409914
1685,3,2,0,Premium,2023.0,390.8971850197119,498.99106111440585,91.0,1480072.857917946
2523,2,2,1,Standard,1961.0,301.83313996730396,0.0,68.0,760350.4609404071
1636,3,1,0,Standard,1975.0,347.15426899762446,800.5870868203157,69.0,624465.6089553884
2718,5,3,0,Standard,1993.0,0.0,1415.0264255859067,23.0,937796.0077539923
961,2,2,0,Standard,2023.0,0.0,0.0,94.0,749083.3254700546
1333,3,2,1,Standard,1975.0,298.0049957601962,0.0,8.0,426894.1266234348
1798,2,2,2,Downtown,2018.0,592.3162587139768,528.4950548326724,9.0,859476.5537883919
1884,1,1,0,Suburbs,2001.0,303.62017467906446,863.969516128502,91.0,646498.4505099467
2622,4,4,0,Standard,1974.0,0.0,857.5663879498661,46.0,848813.1142769516
2695,4,3,1,Suburbs,2022.0,432.3318452514928,0.0,86.0,937479.4780078003
1649,4,3,0,Standard,1970.0,454.7740948712754,0.0,91.0,844677.2293663647
1680,3,2,0,Premium,2000.0,497.3202724227363,620.5798764378827,90.0,1434924.6779637025
1691,5,2,0,Suburbs,1964.0,465.35246678867543,542.6491762956971,88.0,706511.9103369586
3065,3,1,1,Standard,2024.0,263.70215771268124,1501.1816838597947,66.0,1022274.4990048875
1762,3,1,0,Standard,1996.0,322.0262166739692,0.0,87.0,648993.4360836291
2643,4,4,0,Suburbs,2013.0,471.0597491152986,1327.0946210523248,81.0,1020017.2386321871
2433,1,1,0,Suburbs,2004.0,378.583757024396,0.0,56.0,555213.4577486765
976,4,3,1,Downtown,2001.0,341.20095628184276,200.0,69.0,956370.839345795
2282,1,1,1,Standard,1966.0,150.0,878.037297421656,41.0,637015.5921405049
2485,3,2,1,Standard,1980.0,313.2023418819317,744.5620015774142,40.0,793418.142423695
2350,4,4,0,Suburbs,2021.0,589.7373842458453,0.0,56.0,815426.4980794817
2323,3,1,0,Standard,2013.0,597.5588016951046,1036.8169572623278,81.0,903838.329034968
2619,3,1,0,Rural,1966.0,384.24977456438177,0.0,14.0,421941.98910915205
2801,3,2,0,Suburbs,2003.0,615.3515655699695,1154.136171882102,13.0,775840.8170083811
1373,3,2,0,Suburbs,1973.0,507.2225032720109,372.4553403626317,97.0,613127.9186388104
1809,4,3,1,Standard,1971.0,315.345936297395,0.0,13.0,603221.6161331398
2530,3,2,0,Suburbs,1961.0,0.0,1295.3080701986287,89.0,707713.8318116779
2686,3,2,1,Suburbs,1998.0,0.0,1080.016923407719,10.0,621877.4376643822
1637,3,2,1,Suburbs,2015.0,518.8592559123601,448.8135839376415,92.0,684508.9469160878
2808,5,3,1,Rural,1984.0,252.8543622210887,1156.6035956233923,78.0,624726.4976932717
1597,2,2,0,Standard,1987.0,428.90198947742084,518.4976970460282,17.0,540327.3988580966
2071,5,3,0,Standard,1967.0,150.0,0.0,9.0,623645.1472296003
1848,3,1,0,Downtown,2020.0,436.82776649910403,1100.270891825185,46.0,955865.0123313653
1408,2,1,1,Standard,2021.0,343.01631869686247,0.0,87.0,644216.6205778093
2594,3,2,1,Standard,1995.0,430.267766105643,867.2388003634662,40.0,929798.1847420144
1899,1,1,0,Suburbs,1960.0,849.5797437578708,0.0,20.0,331105.94672072405
1745,1,1,1,Suburbs,1967.0,426.43190584579344,669.3240990320049,11.0,381160.90042602946
1533,5,2,1,Standard,1997.0,0.0,677.0254686138078,67.0,712393.1927916036
2940,3,2,1,Premium,1996.0,578.8716103761358,917.309895454026,67.0,1696822.4369285603
1696,3,1,0,Rural,1966.0,255.19057612274491,0.0,90.0,356247.00462213997
1303,3,2,0,Standard,1989.0,164.59654859122088,0.0,94.0,664716.4093909204
1745,3,2,0,Downtown,1976.0,419.7423059909113,621.6132273737204,61.0,947686.8913399348
2289,2,2,0,Standard,1984.0,418.71678695161177,1122.5336203505872,93.0,856542.2289737299
2603,2,2,2,Premium,2024.0,267.09409174211385,0.0,52.0,1469699.4482688094
2304,3,2,1,Standard,2015.0,560.6286396868724,0.0,43.0,733943.9320856141
2148,3,2,2,Suburbs,2015.0,0.0,823.208890163925,54.0,670475.6683097363
1764,3,2,0,Rural,1965.0,268.7014648613432,774.2710696772606,11.0,331311.05999770545
1467,3,1,0,Standard,1975.0,486.8947967619455,766.3610562890651,2.0,461658.38216023444
2553,3,2,0,Standard,2002.0,763.912842077958,1225.4795367680797,52.0,919490.0650177243
3616,3,2,2,Standard,1983.0,160.77612176487688,1078.7460531205222,82.0,1094024.2370964424
3122,5,2,0,Suburbs,2020.0,734.2231650024476,1111.2952336190067,45.0,891610.2647081105
2328,3,2,1,Standard,1998.0,300.0165653150431,960.2012634722734,78.0,878901.1628778161
1801,3,2,0,Downtown,1981.0,381.5137091723299,733.5107450300558,6.0,725774.4792193114
3219,3,2,2,Suburbs,2025.0,0.0,0.0,52.0,809698.8407633009
1771,4,3,0,Standard,2023.0,,513.4328846942807,59.0,848546.7524535374
2380,1,1,0,Suburbs,2012.0,397.0785302047982,957.7813186651588,79.0,779577.5082789278
2023,1,1,1,Downtown,2017.0,354.60084344866755,0.0,34.0,817405.7542173333
3328,3,2,0,Suburbs,1975.0,0.0,1414.0533799582784,80.0,874886.3734902724
2241,4,3,1,Rural,,292.3752096873368,0.0,25.0,422598.47265468474
2181,3,1,0,Rural,1982.0,284.8406285847082,853.1889827659849,1.0,402765.42646053
2268,2,1,1,Suburbs,1995.0,429.9069880981012,0.0,70.0,637399.2441223268
2279,5,3,1,Suburbs,1960.0,534.3190335512248,757.3541411097965,99.0,839923.442531805
2582,3,2,1,Downtown,2009.0,352.7211910114833,831.3938270294948,42.0,1138318.6929096372
1845,3,1,1,Suburbs,1981.0,751.0450323785469,0.0,33.0,489883.0959764337
2103,2,2,1,Downtown,1985.0,595.846834276007,962.3025840471679,66.0,1101748.2178897806
1763,3,1,0,Suburbs,1968.0,460.06479907844204,951.3824181764273,93.0,612734.6327060115
1728,3,2,0,Suburbs,2013.0,412.73323622900006,581.8957678582843,93.0,682930.4316137796
2363,3,2,1,Suburbs,2003.0,241.0867889376915,978.1277062899477,73.0,742232.3135168042
1075,1,1,0,Rural,1993.0,268.2399283991048,0.0,27.0,163807.9960307849
2111,4,3,1,Rural,1984.0,197.3803866083973,0.0,6.0,365915.3772143471
1817,1,1,1,Suburbs,2006.0,,0.0,60.0,433538.890446358
3368,3,2,0,Premium,2012.0,0.0,1522.2562853270354,48.0,1748606.2390683838
1612,1,1,1,Premium,1972.0,341.68468743556275,808.9964184833823,89.0,1084183.150185457
3217,2,2,0,Suburbs,1988.0,0.0,1279.3437563960822,65.0,753809.6650889099
1655,2,2,0,Suburbs,1986.0,433.94739293477176,0.0,93.0,567384.2157551245
2669,3,2,0,Standard,1990.0,150.0,0.0,24.0,730173.4670503761
4104,4,3,0,Suburbs,1960.0,719.5156399481439,0.0,46.0,920057.5652595098
2677,2,2,0,Standard,1996.0,504.494725182662,0.0,4.0,700580.0139547345
2812,3,1,1,Standard,2007.0,365.63648449252696,0.0,58.0,867247.4721850584
2798,3,2,0,Standard,1988.0,222.78381076340352,1004.6783448789787,52.0,870657.668820059
1253,3,2,1,Standard,1964.0,499.50745732710783,0.0,4.0,473619.6981884737
2949,5,3,2,Downtown,2021.0,398.73795010429524,1454.9867463177325,60.0,1584900.5615600608
2577,3,2,1,Downtown,2007.0,150.0,1210.9831523570617,87.0,1355682.1742687589
2390,3,1,2,Suburbs,2001.0,444.57507208373613,0.0,47.0,668602.8689654759
3990,1,1,0,Rural,1983.0,0.0,2000.0,67.0,512918.5900677993
1519,2,2,1,Suburbs,1994.0,346.9273710681728,633.2678054405877,76.0,589953.497535175
770,2,2,0,Standard,1990.0,499.17782122240067,200.0,36.0,485155.5774976482
1607,1,1,1,Suburbs,2007.0,267.08310229785246,509.33807890580835,54.0,462286.6922250833
1573,1,1,0,Standard,1976.0,451.9051616366203,595.3730078656071,45.0,519800.14669953944
2144,1,1,1,Rural,2020.0,,1023.5639534983377,41.0,437528.62187054096
2149,1,1,0,Standard,2020.0,387.6504174974192,763.8989239352159,6.0,595369.309527354
3084,5,4,1,Standard,1968.0,404.194981596794,1057.7451075838646,41.0,1126313.657214195
1860,4,3,1,Rural,1977.0,580.593844751535,497.1188684476509,57.0,440609.3759712683
4021,3,2,0,Standard,2016.0,501.5332306721073,1917.3594692768522,,1309905.52008873
2030,3,2,2,Suburbs,1998.0,150.0,0.0,52.0,658745.4734685008
2476,1,1,0,Standard,2017.0,0.0,0.0,58.0,609621.1887955774
2161,3,1,2,Suburbs,2015.0,458.69274356813105,0.0,30.0,554592.8608659878
2132,3,2,1,Standard,1977.0,219.59634566576986,760.9329751894868,98.0,890003.3680188423
2386,3,2,1,Suburbs,2016.0,293.9333378060186,1334.237064167374,22.0,661668.0686258331
3018,3,2,1,Standard,2025.0,421.56061567312855,1233.2173872523476,79.0,1034024.995426003
3301,3,2,1,Premium,1966.0,0.0,1118.597953783028,36.0,1522685.0502184888
2439,3,2,0,Premium,1992.0,538.178355673684,0.0,82.0,1488581.6849440238
1870,2,1,1,Rural,2017.0,244.2791072482844,737.7891174479884,4.0,282504.5365372193
2367,3,2,0,Suburbs,2002.0,0.0,0.0,43.0,549650.802589482
3468,3,2,1,Standard,1997.0,,1075.528711055896,18.0,938614.0511985688
2897,3,2,1,Downtown,1977.0,399.83932996938785,0.0,6.0,897637.9950059948
2545,3,2,1,Standard,2018.0,381.6017349538571,920.7216462418268,17.0,763455.629509644
2280,2,2,0,Premium,2004.0,523.4288834175028,0.0,18.0,1082098.9242053435
1036,4,4,1,Premium,1965.0,428.0652305833409,463.7456422572546,79.0,1328887.4960224023
2088,4,2,0,Standard,2020.0,,0.0,96.0,811924.1195350466
2321,5,2,1,Suburbs,1974.0,150.0,1001.6471506367478,8.0,593077.6852680653
1271,2,2,0,Suburbs,1963.0,504.13165644178383,223.76794457028706,18.0,336419.62409184844
2417,3,1,1,Downtown,2019.0,267.1044876288807,906.430821169449,70.0,1186423.4964210843
1698,3,2,1,Standard,1961.0,341.8358615775664,871.736983410514,1.0,517589.2689475176
1670,3,2,1,Suburbs,1967.0,0.0,672.6864254294811,1.0,454483.06695047166
3387,3,1,0,Standard,1970.0,418.7145794316078,0.0,12.0,756792.8750660286
3029,5,3,0,Rural,1967.0,0.0,1104.0446888390907,28.0,540761.018534744
2347,4,3,0,Standard,1984.0,0.0,794.837289801346,35.0,830737.9061185298
2233,4,3,2,Premium,2020.0,232.36209360650136,1018.6745340374845,26.0,1582661.2319594237
2719,3,1,2,Premium,1962.0,0.0,0.0,,1187525.2398176186
2196,3,2,0,Standard,1987.0,273.7130438748917,0.0,30.0,701119.6494675989
2565,1,1,0,Premium,2016.0,255.15255405890497,1174.9476539430639,94.0,1610273.2503179084
2795,1,1,1,Suburbs,1978.0,747.6030648422292,0.0,44.0,572113.4743133188
2069,2,2,0,Standard,2013.0,249.05379916103698,885.1988624854,81.0,865102.2779689869
2047,1,1,1,Downtown,1964.0,411.95411010740685,0.0,69.0,798031.1130161232
1950,2,2,0,Standard,1992.0,628.041698332425,0.0,19.0,651672.5948026099
1800,2,2,2,Suburbs,1987.0,0.0,0.0,,599173.6278747041
1125,3,2,1,Standard,2007.0,0.0,0.0,57.0,597964.8779883115
2787,2,2,2,Standard,2022.0,722.6746062138654,0.0,13.0,808041.0499448793
2214,3,2,0,Suburbs,1989.0,482.7097514167363,1057.6240783969934,64.0,671042.8207962622
600,3,1,1,Suburbs,1984.0,451.3179130164486,0.0,13.0,249243.72918357182
2842,3,2,1,Rural,1976.0,484.9406062088033,1358.1250618274569,30.0,520459.8281565153
2284,3,2,1,Rural,1962.0,378.2157031241621,541.2361480956558,,388626.66463275015
2560,3,2,0,Suburbs,1983.0,530.7766854811136,0.0,45.0,656469.6965655186
1771,3,2,2,Standard,1981.0,481.15764760924947,0.0,69.0,753595.6486979752
1482,2,2,0,Suburbs,2005.0,536.085199008643,685.7590538887931,82.0,644001.4719420196
2097,2,2,0,Suburbs,1967.0,498.82303670341963,0.0,40.0,423574.5140409791
2029,4,4,1,Premium,1962.0,527.9590684077416,0.0,16.0,1297881.079517898
2560,1,1,1,Standard,1990.0,0.0,1292.821138750891,62.0,742304.1554482828
1152,3,1,0,Rural,2009.0,692.0047693548343,823.7346895425576,7.0,333856.60835902765
2960,5,3,2,Standard,1964.0,519.5878447810051,981.115675343283,26.0,963384.9875262666
2880,3,2,0,Rural,1976.0,556.1661724786845,1019.7091780098458,100.0,599046.5708219168
2066,5,4,0,Rural,1968.0,229.4693227548377,0.0,24.0,443696.65067121666
2009,4,3,0,Premium,1990.0,255.19269689432585,0.0,12.0,1171411.3356500235
1519,3,2,0,Standard,1966.0,0.0,298.15168050935637,20.0,513529.1883235313
2336,3,2,0,Suburbs,2019.0,273.10995398455475,922.0557578637155,76.0,713398.0077394779
3888,2,1,1,Standard,1962.0,193.87398214426855,1711.2427944400483,33.0,942577.4096619923
2108,3,1,2,Rural,1981.0,382.1721276968844,770.8973545786266,71.0,423231.960956573
1458,1,1,0,Suburbs,1963.0,282.38326989156417,200.0,87.0,452554.74415682355
1542,1,1,0,Premium,1977.0,340.49557300521894,367.9275031700424,61.0,913387.779951229
2625,3,2,1,Suburbs,1961.0,632.3376930127305,0.0,85.0,728217.9712962352
2858,3,1,0,Premium,2004.0,640.1678028458904,0.0,56.0,1450263.3097089012
826,2,2,0,Suburbs,1996.0,464.20881214767485,0.0,72.0,458997.48900200287
2219,2,1,1,Rural,1981.0,495.5999561908289,0.0,40.0,327109.9983844431
2070,2,1,0,Rural,1980.0,0.0,916.1759796474964,92.0,398680.08881541097
600,4,3,1,Rural,1961.0,674.5702712498162,200.0,57.0,368892.6556594143
1281,3,1,1,Downtown,1961.0,250.12196455575128,527.3024770192667,23.0,600187.57706292
1984,5,2,2,Standard,1966.0,330.9719426653182,0.0,75.0,873107.5646948889
2595,3,2,1,Suburbs,1991.0,413.51656438466296,917.2227899893892,34.0,712199.6746126829
782,3,1,1,Suburbs,1977.0,309.531986766082,0.0,86.0,438501.2712760615
1764,2,2,1,Standard,1975.0,437.45882305803957,454.56037701683385,85.0,763432.0261553237
2635,2,2,1,Standard,1978.0,417.3791138263,1482.0617559673124,30.0,862837.1392471049
2788,2,2,0,Downtown,1974.0,0.0,0.0,29.0,837775.3431116607
2436,2,2,2,Standard,,356.79538908411683,0.0,16.0,661684.1421199725
1857,4,4,1,Premium,1993.0,565.476090819046,746.8002644301849,17.0,1455882.3411220345
1829,3,2,1,Suburbs,2014.0,414.88444350716094,918.1803322219181,24.0,615078.0569738639
2840,3,2,1,Premium,1997.0,330.20162224883836,1253.2818019939805,73.0,1792942.5484554006
2004,2,2,2,Suburbs,1989.0,0.0,746.0005756509611,60.0,605562.1681719441
1337,4,3,1,Suburbs,1981.0,423.01410705780836,200.0,21.0,455534.5989255419
2493,2,2,0,Standard,1987.0,588.2984784296408,0.0,64.0,757272.9990710297
2590,1,1,0,Suburbs,1989.0,0.0,1165.76950812493,39.0,1775066.643654
2038,2,2,0,Standard,2002.0,353.225942068817,654.5615409745888,23.0,578226.754503223
2087,3,2,0,Standard,1976.0,225.9494715849773,0.0,57.0,678282.784266032
1704,5,3,0,Suburbs,,432.24768044991276,482.471518551168,9.0,579551.9118844845
1883,1,1,1,Rural,1975.0,,455.49107219360974,16.0,249397.6871319824
2305,1,1,0,Suburbs,2002.0,379.7304989386447,0.0,92.0,645677.1178352628
2666,3,1,0,Standard,1990.0,649.4059024005245,1213.9573512579834,88.0,1003044.2889369112
2739,3,2,1,Suburbs,2013.0,315.9163982358448,0.0,56.0,682375.459112478
3037,2,2,1,Suburbs,2007.0,0.0,1312.1969415317726,18.0,729414.7207239522
2010,2,1,2,Suburbs,1994.0,603.1316387867624,936.6188042680687,92.0,709300.7508073697
3371,2,2,0,Suburbs,1979.0,407.18331740128224,1036.6600389212185,81.0,794804.0829060002
2520,5,4,1,Rural,2018.0,421.06388011672516,0.0,60.0,608116.5105934456
4085,4,3,0,Premium,1996.0,531.1254807844749,1869.088128991173,48.0,2207262.7712548296
914,3,2,1,Rural,1995.0,269.0421160484159,200.0,41.0,329073.9995584946
2549,2,1,1,Suburbs,1970.0,394.4173212004339,913.8556734326369,9.0,505331.9960260404
2640,3,1,1,Suburbs,1976.0,0.0,1257.0990640612756,99.0,770892.2081514836
1928,3,2,0,Premium,2007.0,0.0,805.1512859073744,10.0,1133864.6637762152
1620,4,3,0,Standard,1991.0,349.1608552976286,0.0,63.0,736916.0950368795
3530,2,2,0,Standard,1989.0,408.64341447393934,1646.186557224072,42.0,987863.7977166295
3114,3,1,2,Standard,1996.0,345.43232055851934,1505.1547627582338,24.0,929274.7088407365
1783,3,2,1,Premium,2025.0,540.5221475384,454.6381420143676,52.0,1390470.984835313
2000,2,2,2,Rural,2004.0,0.0,995.5930025999843,94.0,557131.4208017135
2050,5,3,2,Rural,1991.0,221.85983239339797,702.7165443022883,42.0,541781.3101158137
1879,3,2,1,Downtown,1970.0,557.0201355237019,731.1531580233976,48.0,991276.2164916367
1399,2,2,0,Rural,2015.0,575.315337551668,297.8312315994003,100.0,485365.5929768557
2982,3,2,1,Suburbs,1975.0,589.1427528221391,1022.3893724714999,64.0,812392.8097331164
2624,2,2,0,Downtown,1965.0,281.1586068742793,0.0,59.0,889743.6753828079
2933,2,2,2,Rural,2005.0,234.68620666111616,1598.600907778599,73.0,584279.8141042909
3030,4,3,2,Rural,2010.0,393.3101992007165,0.0,40.0,495637.2769193905
2241,2,1,1,Suburbs,1979.0,471.8678691674158,886.2240696712039,47.0,562909.5954733951
1759,3,1,1,Downtown,1976.0,543.7499072027712,506.21612335353376,60.0,890837.6096388248
